销售商品、提供劳务收到的现金	h1
收到的税费返还	h2
收到的其他与经营活动有关的现金	h3
经营活动现金流入小计	h4
购买商品、接受劳务支付的现金	h5
支付给职工以及为职工支付的现金	h6
支付的各项税费	h7
支付的其他与经营活动有关的现金	h8
经营活动现金流出小计	h9
经营活动产生的现金流量净额	h10
收回投资所收到的现金	h11
取得投资收益所收到的现金	h12
处置固定资产、无形资产和其他长期资产所收回的现金净额	h13
处置子公司及其他营业单位收到的现金净额	h14
收到的其他与投资活动有关的现金	h15
投资活动现金流入小计	h16
购建固定资产、无形资产和其他长期资产所支付的现金	h17
投资所支付的现金	h18
取得子公司及其他营业单位支付的现金净额	h19
支付的其他与投资活动有关的现金	h20
投资活动现金流出小计	h21
投资活动产生的现金流量净额	h22
吸收投资收到的现金	h23
其中：子公司吸收少数股东投资收到的现金	h24
取得借款收到的现金	h25
发行债券收到的现金	h26
收到其他与筹资活动有关的现金	h27
筹资活动现金流入小计	h28
偿还债务支付的现金	h29
分配股利、利润或偿付利息所支付的现金	h30
其中：子公司支付给少数股东的股利、利润	h31
支付其他与筹资活动有关的现金	h32
筹资活动现金流出小计	h33
筹资活动产生的现金流量净额	h34
四、汇率变动对现金及现金等价物的影响	h35
五、现金及现金等价物净增加额	h36
加:期初现金及现金等价物余额	h37
六、期末现金及现金等价物余额	h38
净利润	h39
少数股东权益	h40
未确认的投资损失	h41
资产减值准备	h42
固定资产折旧、油气资产折耗、生产性物资折旧	h43
无形资产摊销	h44
长期待摊费用摊销	h45
待摊费用的减少	h46
预提费用的增加	h47
处置固定资产、无形资产和其他长期资产的损失	h48
固定资产报废损失	h49
公允价值变动损失	h50
递延收益增加（减：减少）	h51
预计负债	h52
财务费用	h53
投资损失	h54
递延所得税资产减少	h55
递延所得税负债增加	h56
存货的减少	h57
经营性应收项目的减少	h58
经营性应付项目的增加	h59
已完工尚未结算款的减少(减:增加)	h60
已结算尚未完工款的增加(减:减少)	h61
其他	h62
经营活动产生现金流量净额	h63
债务转为资本	h64
一年内到期的可转换公司债券	h65
融资租入固定资产	h66
现金的期末余额	h67
现金的期初余额	h68
现金等价物的期末余额	h69
现金等价物的期初余额	h70
现金及现金等价物的净增加额	h71
stock_code	h72
Date	h73
