,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额
2008-12-31,"571,696.56","571,696.56","544,621.46","392,633.89",312.56,"42,021.52","37,665.36","30,057.72","41,930.40",--,"1,028.36","1,028.36",--,"28,103.46","4,628.00","1,242.60",--,"31,488.86","6,883.61","24,605.25","24,605.25",--,0.1200,0.1200,--,--,--,--
2008-09-30,"442,793.42","442,793.42","378,697.65","297,655.48",236.22,"31,012.84","27,187.35","22,634.63",-28.87,--,831.33,831.33,--,"64,927.10","1,640.82",201.88,57.36,"66,366.04","5,423.63","60,942.41","60,942.41",--,0.3000,0.3000,--,--,--,--
2008-06-30,"289,774.33","289,774.33","243,060.52","191,784.22",160.73,"20,575.58","16,994.15","13,575.67",-29.83,--,506.87,506.87,--,"47,220.68","1,230.70",139.83,61.44,"48,311.55","4,280.70","44,030.84","44,030.84",--,0.2200,0.2200,--,--,--,--
2008-03-31,"133,664.44","133,664.44","112,262.63","89,621.60",90.25,"9,264.79","7,614.33","5,672.51",-0.84,--,195.16,195.16,--,"21,596.97",183.78,377.72,6.57,"21,403.03","2,349.41","19,053.62","19,053.62",--,0.1900,0.1900,--,--,--,--
2009-12-31,"607,936.92","607,936.92","462,687.93","352,285.35",250.75,"41,098.82","48,348.32","20,633.53",71.16,--,"2,094.02","2,094.02",--,"147,343.01","2,997.05","22,110.74","21,989.58","128,229.33","16,426.41","111,802.92","111,802.92",--,0.5600,0.5600,-106.29,"111,696.63","111,696.63",--
2009-09-30,"414,386.48","414,386.48","345,298.18","243,913.35",167.03,"28,863.86","34,737.01","16,116.31","21,500.61",--,"1,301.62","1,301.62",--,"70,389.92","2,789.87",332.30,215.86,"72,847.49","11,060.77","61,786.72","61,786.72",--,0.3100,0.3100,--,--,--,--
2009-06-30,"254,656.82","254,656.82","229,569.45","156,470.87",102.81,"17,944.26","22,199.55","11,352.75","21,499.21",--,655.87,655.87,--,"25,743.24","2,579.78",101.05,54.44,"28,221.97","6,095.01","22,126.95","22,126.95",--,0.1100,0.1100,--,--,--,--
2009-03-31,"105,912.54","105,912.54","94,275.62","69,990.52",29.98,"7,699.29","9,767.11","6,788.72",--,--,185.35,185.35,--,"11,822.27",507.51,39.38,27.41,"12,290.41","1,943.54","10,346.87","10,346.87",--,0.0500,0.0500,--,--,--,--
2010-12-31,"850,803.78","850,803.78","653,217.56","506,887.00",672.67,"62,163.45","66,167.41","17,263.70",63.32,--,"1,643.02","1,643.02",--,"199,229.25","3,930.96","1,977.11","1,088.47","201,183.10","22,407.30","178,775.79","178,775.79",--,0.8900,0.8900,879.88,"179,655.67","179,655.67",--
2010-09-30,"607,947.28","607,947.28","460,889.96","363,477.34",271.58,"42,543.77","41,692.33","12,909.38",-4.45,--,"1,286.24","1,298.31",--,"148,343.56","1,707.65",661.77,443.90,"149,389.44","17,443.33","131,946.11","131,946.11",--,0.6600,0.6600,483.70,"132,429.81","132,429.81",--
2010-06-30,"388,800.37","388,800.37","290,853.83","227,767.75",192.54,"27,859.00","25,651.22","9,406.49",-23.17,--,935.95,935.95,--,"98,882.48","1,203.42",273.35,94.00,"99,812.55","12,160.19","87,652.36","87,652.36",--,0.4400,0.4400,-27.81,"87,624.55","87,624.55",--
2010-03-31,"175,258.49","175,258.49","127,877.01","98,373.89",88.17,"12,953.50","12,033.34","4,428.12",--,--,496.31,496.31,--,"47,877.79",861.12,160.07,22.44,"48,578.83","6,924.91","41,653.93","41,653.93",--,0.2100,0.2100,--,--,--,--
2011-12-31,"968,941.02","968,941.02","799,561.69","614,666.94","5,686.60","74,352.39","80,263.26","23,559.86","1,032.64",-70.62,"1,601.71","1,601.71",--,"170,910.42","7,729.28","1,406.68",627.51,"177,233.01","25,972.32","151,260.69","151,260.69",--,0.7600,0.7600,"1,861.52","153,122.21","153,122.21",--
2011-09-30,"710,102.98","710,102.98","581,156.72","449,913.41","3,828.51","53,719.36","57,710.46","15,984.97",--,--,"1,086.18","1,086.18",--,"130,032.44","5,081.98",637.42,392.15,"134,477.00","17,746.02","116,730.98","116,730.98",--,0.5800,0.5800,"1,573.35","118,304.33","118,304.33",--
2011-06-30,"465,731.79","465,731.79","377,084.19","293,064.39","2,137.66","35,060.87","37,968.97","8,852.30",--,--,772.01,772.01,--,"89,419.61","3,486.93",175.97,123.91,"92,730.57","12,742.62","79,987.96","79,987.96",--,0.4000,0.4000,"1,031.14","81,019.10","81,019.10",--
2011-03-31,"223,067.01","223,067.01","179,687.66","139,545.85",967.39,"17,306.62","18,263.77","3,604.04",--,--,444.09,408.61,--,"43,823.43","3,051.96",148.55,107.90,"46,726.84","6,261.87","40,464.97","40,464.97",--,0.2000,0.2000,405.08,"40,870.05","40,870.05",--
2012-12-31,"1,024,739.15","1,024,739.15","845,863.79","633,791.60","6,778.72","77,854.01","99,516.35","24,504.25","3,418.85",104.69,"2,153.86","2,153.86",--,"181,133.91","8,208.47","3,084.07","1,390.97","186,258.30","33,794.25","152,464.05","152,477.08",-13.03,0.7600,0.7600,596.69,"153,060.74","153,073.77",-13.03
2012-09-30,"754,599.92","754,599.92","616,964.21","464,535.64","4,920.92","56,828.95","70,695.97","17,926.28","2,056.45",70.62,"1,513.08","1,513.08",--,"139,219.41","3,927.29","1,251.59",687.35,"141,895.12","26,161.80","115,733.32","115,736.81",-3.49,0.5800,0.5800,156.43,"115,889.75","115,893.23",-3.49
2012-06-30,"487,408.96","487,408.96","397,611.19","298,308.43","3,133.31","36,847.77","44,893.21","12,374.23","2,054.24",70.62,803.55,803.55,--,"90,671.95",845.84,"1,021.02",469.68,"90,496.76","16,663.88","73,832.88","73,832.88",--,0.3700,0.3700,-969.96,"72,862.92","72,862.92",--
2012-03-31,"225,734.89","225,734.89","183,283.65","137,333.45","1,352.23","17,687.94","21,145.49","5,764.53",--,70.62,370.55,370.55,--,"42,892.41",372.63,414.82,93.80,"42,850.22","7,650.07","35,200.15","35,200.15",--,0.1800,0.1800,-31.71,"35,168.43","35,168.43",--
2013-12-31,"1,150,120.98","1,150,120.98","926,206.51","673,950.63","8,616.91","87,677.61","129,418.10","24,380.35","2,162.92",-682.00,"2,574.78","2,574.78",--,"225,807.24","20,844.35","8,747.54","7,968.48","237,904.05","46,192.38","191,711.66","191,754.85",-43.19,0.9600,0.9600,"-4,512.83","187,198.83","187,242.01",-43.19
2013-09-30,"844,058.14","844,058.14","682,971.08","503,834.94","6,466.89","63,980.14","88,042.76","18,894.47","1,751.88",126.19,"1,832.73","1,832.73",--,"163,045.98","8,612.73","6,520.03","5,809.54","165,138.68","31,506.70","133,631.98","133,651.38",-19.40,0.6700,0.6700,"-3,650.21","129,981.77","130,001.17",-19.40
