code,name,currentratio20161,quickratio20161,cashratio20161,icratio20161,sheqratio20161,adratio20161,currentratio20162,quickratio20162,cashratio20162,icratio20162,sheqratio20162,adratio20162,currentratio20163,quickratio20163,cashratio20163,icratio20163,sheqratio20163,adratio20163,currentratio20164,quickratio20164,cashratio20164,icratio20164,sheqratio20164,adratio20164,currentratio20171,quickratio20171,cashratio20171,icratio20171,sheqratio20171,adratio20171,currentratio20172,quickratio20172,cashratio20172,icratio20172,sheqratio20172,adratio20172,currentratio20173,quickratio20173,cashratio20173,icratio20173,sheqratio20173,adratio20173,currentratio20174,quickratio20174,cashratio20174,icratio20174,sheqratio20174,adratio20174,currentratio20181,quickratio20181,cashratio20181,icratio20181,sheqratio20181,adratio20181
002575,群兴玩具,5.4419,4.3709,228.6373,7055.5506,93.3941,6.6059,7.4376,5.9759,264.0681,-1737.4667,95.4525,4.5475,16.0344,13.4111,654.7034,-1652.1385,97.5858,2.4142,29.0801,24.8284,1290.0321,-569.8529,98.1119,1.8881,35.7418,35.7372,1032.3863,4384.9628,98.3737,1.6263,68.7353,68.7353,2335.9107,2188.3557,98.8701,1.1299,59.7316,59.7316,1321.6689,1845.4784,98.8005,1.1995,44.5911,44.5911,1895.4149,2267.0339,98.8017,1.1983,65.5133,65.5133,5553.4488,-370.0231,99.0635,0.9365
300333,兆日科技,45.1778,41.4535,3259.8107,-239.2744,98.4925,1.5075,39.0837,36.0458,2743.7393,-305.8648,98.2915,1.7085,35.3457,32.5237,2077.6609,-358.1695,98.1362,1.8638,14.2044,13.2202,978.5237,-317.8456,95.4326,4.5674,40.695,37.5682,2825.4554,-295.0607,98.434,1.566,34.2565,31.2182,2003.2047,-329.00300000000004,98.1607,1.8393,32.4837,29.3252,1625.9396,-377.7964,98.0572,1.9428,17.7864,16.3022,1029.1271,-288.1024,96.3976,3.6024,33.759,30.9197,1389.0539,-261.7919,98.1113,1.8887
600868,梅雁吉祥,1.3419999999999999,1.2639,5.0452,651.5602,85.3896,14.6104,1.1849,1.1292,7.6479,568.6489,86.5299,13.4701,1.3296,1.3244,6.1177,783.2936,88.9061,11.0939,2.0158,2.012,120.1436,645.09,89.8231,10.1769,1.8967,1.8926,72.9052,640.2977,91.4174,8.5826,2.1678,2.1639,112.8182,5971.1055,95.6539,4.3461,2.6622,2.6587,116.2562,7656.603,96.1684,3.8316,3.4696,3.4696,274.595,-706.7691,96.7122,3.2878,3.8427,3.8427,209.5408,-292.1401,97.0657,2.9343
000503,国新健康,11.9715,11.9688,509.8906,1161.2998,93.3894,6.6106,14.5694,14.5665,683.4744,1097.0279,94.9024,5.0976,12.1161,12.1136,609.0885,1109.7215,94.1114,5.8886,14.2376,14.2357,1178.3469,-75.0227,94.6998,5.3002,15.0056,15.0033,1212.1521,4996.6315,95.1774,4.8226,17.6518,17.6488,1275.6931,-3477.0794,96.0757,3.9243,5.2401,5.2392,301.8477,-2982.4944,86.5412,13.4588,17.1498,17.1476,1141.7023,161.2234,96.1587,3.8413,20.7125,20.7101,1489.7706,-779.6206,96.9286,3.0714
600527,江南高纤,21.6997,15.5172,1098.1422,-482.2533,96.3858,3.6142,25.2555,16.3489,1216.7164,-406.1037,96.7615,3.2385,18.4469,11.9131,696.9635,-507.7178,95.8188,4.1812,11.860999999999999,8.7938,505.4167,-288.4835,94.2842,5.7158,15.5786,9.7533,730.1081,-1373.9199,95.3405,4.6595,16.4771,10.5859,747.4882,11367.1303,95.5454,4.4546,12.6391,8.2844,573.5162,-1878.3770000000002,94.456,5.544,27.0362,21.4422,1825.3713,-4132.2668,96.7635,3.2365,27.2512,21.0109,1750.3039,-544.1133,96.7908,3.2092
300223,北京君正,110.904,103.1213,627.7442,801.6238,97.8298,2.1702,101.2106,94.0371,596.7983,-579.2697,97.9626,2.0374,98.3927,88.9461,3119.6281,-1294.4152,97.6029,2.3971,42.4796,38.3487,1007.4110000000001,-827.2849,96.7189,3.2811,30.3186,26.6454,174.4499,-2812.1257,96.2686,3.7314,30.8709,26.8867,323.2895,-2400.0207,96.1386,3.8614,44.8034,38.2845,217.6802,-16569.5734,96.9239,3.0761,49.6307,43.5101,237.1399,-2664.3572,97.2395,2.7605,44.4419,38.6182,178.8566,7075.1827,96.7508,3.2492
300672,国科微,,,,,,,--,--,--,3315.4811,--,--,--,--,--,2122.3794,--,--,4.6107,3.5892,226.4104,-349.2453,83.65,16.35,9.1504,6.8065,407.6551,-2601.5105,92.1259,7.8741,8.1295,6.1719,312.3375,-813.0636,91.161,8.839,12.6373,10.4123,317.8753,31.3529,94.1898,5.8102,6.5567,5.7484,431.3133,466.527,88.3734,11.6266,22.5697,19.5431,1229.1202,-697.08,96.6363,3.3637
000831,五矿稀土,30.5968,13.9872,947.9174,1366.9267,96.8581,3.1419,30.9312,13.9239,922.6397,1133.5968,96.9705,3.0295,30.634,13.783,892.3574,1034.1175,96.9426,3.0574,14.9589,8.3084,296.2748,-631.4535,94.7675,5.2325,21.1866,12.0963,582.4157,-1836.2838,96.2481,3.7519,20.5215,11.7271,438.3321,-1691.1978,96.1042,3.8958,16.4075,9.9287,217.9676,-1835.0014,95.1342,4.8658,22.916999999999998,12.3223,574.0275,-1159.3432,96.4788,3.5212,23.2626,12.4967,733.5486,-2759.5582,96.51899999999999,3.4810000000000003
603336,宏辉果蔬,--,--,--,685.2626,--,--,2.5933,1.5965,52.5672,1590.9677,71.2411,28.7589,2.7605,1.4237,29.8619,1707.82,72.6871,27.3129,17.1775,11.5273,217.6704,-5459.7262,94.6723,5.3277,23.751,16.1156,452.4037,2371.6445,95.9508,4.0492,25.5049,19.1892,480.8672,1272.2098,96.2067,3.7933,27.3614,20.2935,425.9133,1029.4707,96.4454,3.5546,36.7954,23.1163,444.6275,958.5673,97.193,2.807,26.4197,15.2412,438.8215,392.855,96.49799999999999,3.502
300042,朗科科技,16.8241,16.0808,734.4549,-99.1484,95.6659,4.3341,18.9809,17.8095,783.9283,-115.5746,96.0497,3.9503,16.6833,15.4431,633.3834,-142.7792,95.6155,4.3845,14.7915,14.2317,710.8705,-168.6281,94.9768,5.0232,11.4223,9.8477,435.9203,-689.6967,93.4362,6.5638,18.3607,16.754,708.9408,-848.2033,95.8457,4.1543,17.8422,16.6699,293.9187,-829.4,95.742,4.258,16.8553,15.9924,426.7509,-1770.6616,95.4683,4.5317,21.6549,20.173,418.0816,623.808,96.4839,3.5161
