code,name,mbrg20161,nprg20161,nav20161,targ20161,epsg20161,seg20161,mbrg20162,nprg20162,nav20162,targ20162,epsg20162,seg20162,mbrg20163,nprg20163,nav20163,targ20163,epsg20163,seg20163,mbrg20164,nprg20164,nav20164,targ20164,epsg20164,seg20164,mbrg20171,nprg20171,nav20171,targ20171,epsg20171,seg20171,mbrg20172,nprg20172,nav20172,targ20172,epsg20172,seg20172,mbrg20173,nprg20173,nav20173,targ20173,epsg20173,seg20173,mbrg20174,nprg20174,nav20174,targ20174,epsg20174,seg20174,mbrg20181,nprg20181,nav20181,targ20181,epsg20181,seg20181
603399,吉翔股份,,,,,,,-27.721999999999998,,66.8306,21.4196,-52.6316,73.0367,-21.2361,,-16.0518,-18.0601,-60.0,-13.5102,,,,,,,27.837,,5.6418,18.9129,-103.0,4.872,53.8452,,7.433,43.2186,-233.3333,6.6548,,,,,,,60.1043,857.0225,13.7721,46.803000000000004,600.0,12.0255,77.9235,82016.2612,17.4709,24.079,2500.0,15.5965
600083,博信股份,-15.2129,34.6629,31.5126,5.2218,60.0,33.3685,-39.0043,-65.6096,15.6084,-3.4345,-71.4286,11.2345,-12.8416,-46.9978,18.7868,10.4013,-54.3478,14.2581,-20.1394,-58.986999999999995,12.5706,10.2466,-73.4694,6.2346,-21.5587,-99.5749,7.5518,7.3059,-125.0,1.4040000000000001,-23.0286,-112.7913,-18.7731,-16.8635,-150.0,-1.8443,-25.6047,-95.7953,-21.2983,-18.7906,-109.5238,-4.223,-4.0531,37.1619,-7.0526,-18.5332,181.5385,16.7661,3111.4297,51381.4112,1.4368,68.8194,-1395.0,28.7323
002305,南国置业,-12.7758,-70.4655,3.698,45.5642,-93.5,-3.1162,126.8369,,75.5934,46.8994,-104.0195,60.87,,,,,,,-4.976,-52.3138,56.2163,8.943,28.436,54.85,22.1915,-98.9608,55.6291,17.2198,11.5385,54.7781,-44.8361,-98.4979,-1.7002,14.4545,90.9091,-0.2135,-11.0232,-63.941,-1.369,23.5935,5.7971,-0.9251,9.2116,88.6484,-0.2272,10.8239,22.1402,-0.6454,-21.5072,35252.0618,0.5987,7.2037,93.1034,-0.5445
600256,广汇能源,-33.3743,-83.6515,2.5798,10.6695,-82.8859,-0.9848,-36.3485,-88.2746,0.9198,8.5774,-83.3119,-1.9824,-24.4428,-60.5982,4.2516,4.3268,-51.9084,1.5659999999999998,-13.0749,-37.1371,2.4033,6.0234,-17.2269,2.3603,14.061,-89.7197,-0.5398,2.5711,13.7255,2.636,43.6574,47.7661,-0.1201,1.6105,61.5385,0.8424,62.0524,58.8587,-0.1511,7.2766,50.7937,0.5906,94.0101,239.3088,10.0511,3.3995,218.5279,4.4359,196.0477,18651.0888,13.6413,5.4311,1650.0,8.3149
600784,鲁银投资,,,,,,,30.4412,804.2727,-4.5513,-13.3524,11600.0,-1.2477,41.6071,213.8848,-4.7618,-25.2941,1030.0,-1.6869,27.7176,,8.2936,-14.0818,-164.0351,11.128,-23.8018,-98.9666,4.5647,-14.9019,-98.4127,6.933,-50.6695,-81.9925,6.9998,-9.7256,-91.45299999999999,6.7262,-57.1164,-94.102,6.7166,5.8206,-90.2655,6.9161,-48.083999999999996,-1591.2362,-12.5001,-9.1898,-428.7671,-10.5261,-7.7323,10246.3998,-12.0373,-15.8046,6900.0,-6.0635
300272,开能环保,42.2628,-28.9255,16.0386,74.6285,-10.241,14.2338,40.7899,3.7761,13.5895,81.6615,19.026,11.4878,47.269,10.2252,14.375,84.3689,13.7758,11.1132,40.748000000000005,17.3568,31.635,105.6238,17.7999,11.5047,27.3403,-34.1506,29.0852,59.553000000000004,15.4362,11.5776,17.4694,-14.4324,71.0776,34.2355,-7.1361,29.2383,9.9511,-11.2497,88.7835,42.9473,-14.4744,46.6481,10.0322,-87.8396,46.8656,0.8335,-44.8529,19.9015,18.4835,8692.7011,-1.3598,-41.1241,2490.9884,62.7517
600319,亚星化学,-7.1501,,-222.0589,-7.257000000000001,-40.0,-241.5547,,,,,,,2.9389,,-1300.5615,-12.0547,-38.8889,-4915.2859,11.1272,,,-15.4722,-107.619,-104.7253,50.8569,,,-21.3632,-100.0,-104.2906,,,,,,,40.8986,,,-8.9507,-107.5758,-105.5952,33.7814,199.5264,343.8755,-11.0557,0.0,343.8755,7.7469,5366.2027,451.9202,-15.364,,451.9202
000912,*ST天化,,,,,,,-44.0041,,-20.0162,-4.1592,940.3333,-19.7984,-35.5851,,-48.9254,-6.1152,-7211.1111,-48.7499,1.0361,,-84.5166,-7.5043,-3593.5897,-84.4713,-2.1305,,-83.0329,-5.6269,-104.4286,-82.9664,29.5058,,-85.8445,-10.2891,-77.5713,-85.9883,29.7159,,-99.6907,-6.1157,-68.75,-99.8903,,,,,,,8.6968,5212.7403,-1161.3469,-21.8709,4706.4516,-1157.3347
600136,当代明诚,-13.9409,536.8444,177.0375,159.4455,75.0,178.16,52.8611,49.2965,172.0198,165.6158,-73.3333,171.4814,47.7227,78.212,168.5604,160.0725,-47.8261,172.0563,31.9752,113.9495,171.0425,193.8747,-28.5714,174.6891,89.9023,21.3331,7.6399,25.7515,-76.1905,5.854,36.4951,0.7428,10.7617,33.7608,5.5,6.3418,58.2617,-23.4686,11.6693,48.4773,-16.6667,6.0598,60.2577,1.1506,11.168,43.1907,4.0,5.6951,264.9991,4908.7558,12.9393,55.288000000000004,22500.0,7.5445
002696,百洋股份,,,,,,,19.2405,91.7202,9.6295,17.5957,90.9976,4.9439,15.2655,9.9214,5.2224,4.0279,3.7059,4.3459,10.9879,9.684,4.8523,1.4849,3.8236,4.2448,20.2433,-26.9838,4.8408,4.4685,-221.9512,4.0795,1.854,19.695999999999998,5.1352,-1.1318,5.3503,4.3374,7.0174,55.8151,105.24600000000001,89.6848,56.0976,115.0664,15.7409,86.0066,105.176,87.0586,81.7345,115.1537,29.0337,4716.6726,106.3421,87.4884,-1258.0,116.6565
002016,世荣兆业,142.5338,,-1.3615,6.9519,16.2602,-1.3222,67.8608,317.1375,9.9505,31.3781,267.9287,10.0624,29.7273,119.8294,6.8684,45.3341,99.6522,6.9313,6.2221,41.5016,5.1235,42.6095,41.6157,5.52,199.9649,,7.8233,39.7564,-127.97200000000001,8.3084,-81.0999,-109.4735,-19.8299,18.2625,-108.4746,-19.6091,37.3212,326.1588,4.5025,0.5992,324.8258,4.9124,116.7023,938.8707,37.9935,-0.9521,875.2809,38.3091,610.7286,4699.1042,60.2034,-9.1923,4076.6667,60.3135
