code,name,cf_sales20161,rateofreturn20161,cf_nm20161,cf_liabilities20161,cashflowratio20161,cf_sales20162,rateofreturn20162,cf_nm20162,cf_liabilities20162,cashflowratio20162,cf_sales20163,rateofreturn20163,cf_nm20163,cf_liabilities20163,cashflowratio20163,cf_sales20164,rateofreturn20164,cf_nm20164,cf_liabilities20164,cashflowratio20164,cf_sales20171,rateofreturn20171,cf_nm20171,cf_liabilities20171,cashflowratio20171,cf_sales20172,rateofreturn20172,cf_nm20172,cf_liabilities20172,cashflowratio20172,cf_sales20173,rateofreturn20173,cf_nm20173,cf_liabilities20173,cashflowratio20173,cf_sales20174,rateofreturn20174,cf_nm20174,cf_liabilities20174,cashflowratio20174,cf_sales20181,rateofreturn20181,cf_nm20181,cf_liabilities20181,cashflowratio20181
002670,国盛金控,0.0865,0.0051,2.1447,0.0068,0.6856,-0.8898,-0.0157,-3.5278,-0.032,-3.885,-2.5069999999999997,-0.0737,-6.7273,-0.1582,-18.4718,-7.5721,-0.2404,-12.4965,-0.4342,-65.2719,2.4918,0.0283,20.3529,0.0517,7.8539,2.0171,0.0514,8.4618,0.09699999999999999,13.9794,-1.8847,-0.0467,-3.5528,-0.0871,-13.7298,-6.0349,-0.1374,-6.6137,-0.2547,-42.3996,4038.9027,0.0465,,0.0815,12.7285
000627,天茂集团,-2.0539,-0.0048,-0.4851,-0.0058,-40.3267,-17.042,-0.0384,-3.5158,-0.0461,-287.3909,-16.3036,-0.0508,-4.632,-0.0615,-172.4471,-4.8664,-0.0199,-0.7534,-0.024,-61.4818,56.8236,0.0708,39.2436,0.0844,295.9926,41.2713,0.0891,9.1866,0.1052,359.0775,24.2763,0.0695,5.2913,0.0828,8.6327,0.8305,0.0031,0.1611,0.0038,4.2023,106.7493,0.0912,22.8118,0.1087,82.3892
600247,*ST成城,-0.0144,-0.0024,,-0.0026,-0.2609,-0.0121,-0.002,,-0.0022,-0.2202,-0.0067,-0.0012,,-0.0012,-0.1248,-0.0008,-0.0007,,-0.0007,-0.0819,-0.0068,-0.0013,,-0.0011,-0.1714,-0.0053,-0.0011,,-0.0008,-0.136,-0.005,-0.001,,-0.0008,-0.1282,1.6735,0.3786,,0.3841,47.2422,25.9827,0.5329,19.024,0.5558,67.5694
600155,宝硕股份,-0.514,-0.0549,,-0.1246,-13.2061,-0.2546,-0.065,,-0.1407,-14.5241,-4.4412,-0.0488,,-0.0737,-8.0877,-16.9151,-0.2462,,-0.4997,-54.9651,-13.5146,-0.0364,-23.1835,-0.0669,-7.2289,-4.6331,-0.0306,-7.3338,-0.0516,-5.497000000000001,-7.8193,-0.0608,-10.6503,-0.0964,-11.3355,-10.6195,-0.0968,-26.947,-0.1605,-19.5549,10.8318,0.0124,6.8863,0.021,2.6094
000046,泛海控股,-1.4353,-0.0433,-33.0538,-0.0514,-13.0016,-0.6082,-0.0409,-6.2291,-0.0482,-11.669,-0.8424,-0.085,-6.7649,-0.1004,-28.0211,-0.8178,-0.0907,-4.9818,-0.1065,-28.1392,-6.7389,-0.0725,-29.5876,-0.0847,-21.2576,-5.0648,-0.0634,-12.261,-0.0739,-16.6719,-5.2885,-0.0995,-14.1892,-0.1155,-24.8882,-2.2968,-0.1026,-6.2271,-0.1202,-21.4613,10.4512,0.0171,2.1756,0.02,3.3597
300059,东方财富,-4.1309,-0.0634,-12.3644,-0.0998,-10.3517,-1.4749,-0.0355,-2.8795,-0.0651,-6.7466,-5.2169,-0.1941,-8.492,-0.3914,-40.8579,-3.5143,-0.1567,-5.9345,-0.2987,-30.5518,0.4687,0.0035,1.1162,0.006,0.6057,-1.1116,-0.0162,-2.0536,-0.0268,-2.7209,-2.8265,-0.0594,-4.7507,-0.0933,-10.1318,-5.5378,-0.1472,-9.7031,-0.2268,-28.3289,6.6292,0.0539,8.0911,0.0807,9.8654
000809,*ST新城,-57.0241,-0.0281,,-0.054000000000000006,-15.829,-21.4698,-0.0301,,-0.0586,-23.1973,-17.0258,-0.0394,,-0.076,-30.3898,-14.2117,-0.0469,,-0.0886,-16.6634,-11.958,-0.0077,,-0.0144,-3.5796,-7.6729,-0.0107,,-0.0197,-4.8823,6.309,0.0662,10.9017,0.1337,43.7581,8.502,0.114,6.7039,0.2385,51.78,5.7562,0.0057,1.1204,0.012,2.6375
000517,荣安地产,1.0545,0.0294,94.0298,0.0518,7.7899,0.8621,0.0568,26.7084,0.0977,14.3864,0.9828,0.0801,35.5735,0.1315,18.392,0.1051,0.0163,1.2189,0.0244,3.201,0.0119,0.0037,0.0991,0.0064,1.0189,0.1074,0.0369,0.8462,0.0603,9.3961,-0.1222,-0.0407,-0.9922,-0.0634,-9.3163,-0.0614,-0.0198,-0.4834,-0.0292,-4.2031,5.5351,0.0323,,0.0437,5.9904
600053,九鼎投资,0.4724,0.0263,3.826,0.0363,4.637,0.3211,0.0481,1.2616,0.0693,9.0301,0.5475,0.1271,2.0136,0.1917,26.4209,0.5356,0.2073,1.3934,0.3511,44.8552,-0.9046,-0.0301,-2.4419,-0.0556,-7.7004,-0.2953,-0.022000000000000002,-0.7345,-0.0375,-4.9863,-0.3738,-0.0404,-1.214,-0.0693,-9.3349,-0.0784,-0.0125,-0.1794,-0.0221,-2.5348,4.2222,0.139,14.7679,0.2358,27.7345
300189,神农基因,-0.5399,-0.0222,,-0.2397,-40.1548,-0.5859,-0.0642,-19.5747,-0.3412,-41.1002,-0.9916,-0.1488,,-0.5457,-60.8726,-0.7365,-0.2638,-30.0023,-0.7459,-80.9512,-0.5396,-0.0792,-21.7263,-0.2207,-23.6767,0.0263,0.0073,1.0804,0.0418,5.1678,0.2498,0.1005,152.6483,0.5045,60.2909,0.8655,0.1568,311.2256,0.9059,109.0304,3.714,0.0992,17.5345,0.5996,71.5925
