code,name,arturnover20161,arturndays20161,inventory_turnover20161,inventory_days20161,currentasset_turnover20161,currentasset_days20161,arturnover20162,arturndays20162,inventory_turnover20162,inventory_days20162,currentasset_turnover20162,currentasset_days20162,arturnover20163,arturndays20163,inventory_turnover20163,inventory_days20163,currentasset_turnover20163,currentasset_days20163,arturnover20164,arturndays20164,inventory_turnover20164,inventory_days20164,currentasset_turnover20164,currentasset_days20164,arturnover20171,arturndays20171,inventory_turnover20171,inventory_days20171,currentasset_turnover20171,currentasset_days20171,arturnover20172,arturndays20172,inventory_turnover20172,inventory_days20172,currentasset_turnover20172,currentasset_days20172,arturnover20173,arturndays20173,inventory_turnover20173,inventory_days20173,currentasset_turnover20173,currentasset_days20173,arturnover20174,arturndays20174,inventory_turnover20174,inventory_days20174,currentasset_turnover20174,currentasset_days20174,arturnover20181,arturndays20181,inventory_turnover20181,inventory_days20181,currentasset_turnover20181,currentasset_days20181
002647,民盛金科,2.6827,33.5483,7.1481,12.5908,1.0115,88.9768,3.6501,49.3137,10.2084,17.6325,1.2509,143.8964,,,18.5536,14.5524,1.9767,136.5913,16.1092,22.3475,,,2.0743,173.5525,,,,,,,,,,,,,1.8373,146.9548,15744.9225,0.0171,0.5001,539.8919999999999,3.293,109.3228,75684.5306,0.0048,0.7976,451.3541,0.4334,207.6604,18716.6782,0.0048,0.1821,494.2339
300347,泰格医药,0.6734,133.6501,247.3425,0.3639,0.3114,289.0173,1.2990000000000002,138.5681,852.4386,0.2112,0.6503,276.7953,1.9080000000000001,141.5094,1319.8716,0.2046,1.0312,261.8309,2.8353,126.9707,2928.2675,0.1229,1.3171,273.3278,0.7589,118.5927,3229.5833,0.0279,0.3282,274.223,1.5477,116.3016,6418.1247,0.027999999999999997,0.6267,287.2188,2.2708,118.9008,10981.9508,0.0246,0.9903,272.6447,3.1279,115.0932,26049.0267,0.0138,1.3826,260.379,0.6847,131.4444,16472.6684,0.0055,0.3248,277.0936
300467,迅游科技,10.6435,8.4559,5413.6252,0.0166,0.0888,1013.5135,23.3983,7.6929,11964.215,0.015,0.1777,1012.9432,28.5961,9.4418,15131.2005,0.0178,0.2577,1047.7299,47.4756,7.5828,21278.1427,0.0169,0.3485,1032.9986,10.3635,8.6843,5247.8809,0.0171,0.0822,1094.8905,24.1922,7.4404,10075.8763,0.0179,0.2186,823.4218,27.9886,9.6468,15595.0481,0.0173,0.3396,795.053,8.333,43.2017,28121.3178,0.0128,0.4737,759.9747,2.6839999999999997,33.532,10472.7559,0.0086,0.2767,325.262
603377,东方时尚,2913.3619,0.0309,,,0.2898,310.559,5781.9616,0.0311,,,0.7779,231.3922,10414.4161,0.0259,,,1.2291,219.6729,,,,,,,311.9184,0.2885,7400.8953,0.0122,0.2172,414.3646,1593.1154,0.113,12267.1179,0.0147,0.5594,321.7733,2442.7508,0.1105,20257.9747,0.0133,0.8797,306.9228,10523.2804,0.0342,27146.9023,0.0133,1.1844,303.9514,2520.9522,0.0357,5980.1312,0.015,0.1637,549.7862
000038,深大通,1.5224,59.1172,0.1535,586.3192,0.1657,543.1503,2.4493,73.4904,0.3679,489.2634,0.1581,1138.5199,4.1537,65.0023,0.7226,373.6507,0.2916,925.9259,4.5192,79.6601,1.0305,349.345,0.48200000000000004,746.888,0.9886,91.0378,0.6074,148.1725,0.1318,682.8528,1.6808,107.0919,1.22,147.541,0.2471,728.45,2.0169,133.8688,2.3259,116.0841,0.3276,824.1758,2.6627,135.2011,3.3556,107.2833,0.4447,809.5345,0.6537,137.6778,4874.1022,0.0185,0.1415,636.0424
000415,渤海金控,4.4392,20.2739,2878.9173,0.0313,0.1389,647.9482,9.4878,18.9717,5762.5471,0.0312,0.316,569.6203,13.9764,19.3183,8459.1908,0.0319,0.4463,604.9742,18.1215,19.8659,10065.5801,0.0358,0.5615,641.1398,6.3877,14.0896,3851.0433,0.0234,0.1219,738.3101,11.5267,15.6159,9314.3557,0.0193,0.4101,438.9173,18.62,14.5005,14276.7666,0.0189,0.5506,490.3741,20.8448,17.2705,12862.2572,0.027999999999999997,0.7649,470.6498,3.6227,24.8433,3373.6246,0.0267,0.1399,643.3167
600897,厦门空港,1.5872,56.7036,823.062,0.1093,0.3404,264.3948,3.6083,49.885,1941.2749,0.0927,0.6829999999999999,263.5432,4.5392,59.4818,2573.1281,0.1049,0.956,282.4268,7.5263,47.8323,3169.5374,0.1136,1.6823,213.9927,1.4855,60.5857,815.5776,0.1104,0.46799999999999997,192.3077,3.2611,55.1961,2076.6244,0.0867,0.8834,203.7582,4.2167,64.0311,2281.9541,0.1183,1.5022,179.7364,6.6086,54.4745,4215.4911,0.0854,1.9244,187.0713,1.2682,70.9667,1693.6023,0.0531,0.42100000000000004,213.7767
600621,华鑫股份,3.7783,23.8202,0.0583,1543.7393,0.1665,540.5405,4.2147,42.7077,0.0763,2359.1088,0.1881,956.9378,4.7531,56.805,0.0844,3199.0521,0.1893,1426.3074,148.3804,2.4262,0.1294,2782.0711,0.2527,1424.6142,7.3127,12.3074,0.0488,1844.2623,0.0552,1630.4348,7.3173,24.5992,0.0992,1814.5161,0.0233,7725.3219,,,0.1181,2286.1981,0.0294,9183.6735,36.5502,9.8495,1.0242,351.4938,0.2552,1410.6583,0.2912,309.0659,1419.2022,0.0634,0.0017,52941.1765
002400,省广集团,0.8598,104.6755,1351.5514,0.0666,0.3627,248.139,1.9569,91.9822,2194.7431,0.08199999999999999,0.8518,211.3172,2.8283,95.4637,3000.974,0.09,1.1528,234.2124,4.3991,81.8349,5377.8274,0.0669,1.7665,203.7928,0.6917,130.1142,744.0247,0.121,0.2761,325.9689,1.5861,113.4859,1786.6852,0.1007,0.6604,272.5621,2.5749,104.8584,2820.7318,0.0957,1.0605,254.5969,4.4863,80.2443,4925.7854,0.0731,1.7341,207.6005,1.0003,89.973,1021.3033,0.0881,0.3873,232.378
002659,凯文教育,0.3819,235.6638,0.1255,717.1315,0.0686,1311.9534,0.7955,226.2728,0.2585,696.325,0.1467,1226.9939,1.0948,246.6204,0.3965,680.9584,0.1458,1851.8519,1.1129,323.4792,0.6195,581.1138,0.2187,1646.0905,0.3022,297.816,0.1779,505.9022,0.0545,1651.3761,0.7449,241.6432,0.4439,405.4967,0.1475,1220.339,1.5449,174.7686,0.7956,339.3665,0.2918,925.2913,3.457,104.1365,3.0016,119.936,0.6365,565.5931,163.4608,0.5506,948.8051,0.0949,0.1456,618.1319
