货币资金	h1
交易性金融资产	h2
衍生金融资产	h3
应收票据	h4
应收账款	h5
预付款项	h6
应收利息	h7
应收股利	h8
其他应收款	h9
买入返售金融资产	h10
存货	h11
划分为持有待售的资产	h12
一年内到期的非流动资产	h13
待摊费用	h14
待处理流动资产损益	h15
其他流动资产	h16
流动资产合计	h17
发放贷款及垫款	h18
可供出售金融资产	h19
持有至到期投资	h20
长期应收款	h21
长期股权投资	h22
投资性房地产	h23
固定资产净额	h24
在建工程	h25
工程物资	h26
固定资产清理	h27
生产性生物资产	h28
公益性生物资产	h29
油气资产	h30
无形资产	h31
开发支出	h32
商誉	h33
长期待摊费用	h34
递延所得税资产	h35
其他非流动资产	h36
非流动资产合计	h37
资产总计	h38
短期借款	h39
交易性金融负债	h40
应付票据	h41
应付账款	h42
预收款项	h43
应付手续费及佣金	h44
应付职工薪酬	h45
应交税费	h46
应付利息	h47
应付股利	h48
其他应付款	h49
预提费用	h50
一年内的递延收益	h51
应付短期债券	h52
一年内到期的非流动负债	h53
其他流动负债	h54
流动负债合计	h55
长期借款	h56
应付债券	h57
长期应付款	h58
长期应付职工薪酬	h59
专项应付款	h60
预计非流动负债	h61
递延所得税负债	h62
长期递延收益	h63
其他非流动负债	h64
非流动负债合计	h65
负债合计	h66
实收资本(或股本)	h67
资本公积	h68
减：库存股	h69
其他综合收益	h70
专项储备	h71
盈余公积	h72
一般风险准备	h73
未分配利润	h74
归属于母公司股东权益合计	h75
少数股东权益	h76
所有者权益(或股东权益)合计	h77
负债和所有者权益(或股东权益)总计	h78
stock_code	h79
Date	h80
