,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计
2008-12-31,"15,385.32",--,--,"9,222.59","76,512.53","4,367.01",--,--,"3,742.06",--,"116,690.24",--,714.24,--,--,--,"226,633.99",--,--,--,--,"8,977.52",--,"543,360.93","86,794.01",--,--,--,--,--,"46,258.00",--,"7,467.83","9,802.95","4,013.86",--,"706,675.10","933,309.09","107,084.06",--,"45,548.27","25,199.25","6,344.29",--,"5,951.92","-2,997.22","1,098.24",--,"17,128.63",--,--,--,"85,100.00",--,"290,457.44","315,900.00",--,--,--,--,--,--,--,--,"315,900.00","606,357.44","200,298.63","19,932.62",--,--,--,"40,648.11",--,"63,913.96","326,951.65",--,"326,951.65","933,309.09"
2008-09-30,"12,677.76",--,--,"10,638.43","77,269.47","6,268.24",--,--,"3,307.30",--,"152,275.76",--,913.82,--,--,--,"263,350.77",--,--,--,--,"8,780.49",--,"562,347.16","88,245.47",18.85,--,--,--,--,"46,398.07",--,"7,467.83","9,279.03","4,044.08",--,"726,580.97","989,931.75","172,727.19",--,"49,901.10","36,052.24","2,716.47",--,"5,012.87","-1,909.83",934.82,--,"14,329.93",--,--,--,"56,850.00",--,"336,614.80","289,525.00",--,--,--,--,--,--,--,--,"289,525.00","626,139.80","200,298.63","19,932.62",--,--,--,"29,628.24",--,"111,270.98","363,791.95",--,"363,791.95","989,931.75"
2008-06-30,"14,735.65",--,--,"12,113.74","83,637.07","7,740.14",--,--,"2,989.39",--,"157,014.89",--,926.67,--,--,--,"279,157.56",--,--,--,--,"6,186.51",--,"566,700.20","74,150.42",48.91,--,--,--,--,"46,530.17",--,"7,467.83","8,917.17","4,343.56",--,"714,344.78","993,502.34","179,431.23",--,"41,622.37","33,498.85","4,451.22",--,"3,035.00","1,063.38",950.12,"23,638.25","15,883.59",--,--,--,"70,400.00",--,"373,974.00","272,425.00",--,--,--,--,--,--,--,--,"272,425.00","646,399.00","200,298.63","19,932.62",--,--,--,"29,628.24",--,"94,359.41","347,103.33",--,"347,103.33","993,502.34"
2008-03-31,"13,618.87",--,--,"9,317.03","73,563.65","11,347.35",--,--,"3,535.35",--,"146,761.50",--,621.16,--,--,--,"258,764.90",--,--,--,--,"6,903.80",--,"562,037.67","70,847.94",--,--,--,--,--,"45,998.05",--,"7,467.83","8,900.49","3,838.25",--,"705,994.04","964,758.94","169,096.43",--,"34,041.88","34,583.28","2,237.87",--,"2,590.00","1,137.92",740.78,"50,074.66","14,466.84",--,--,--,"53,800.00",--,"362,769.65","279,820.00",--,--,--,--,--,--,--,--,"279,820.00","642,589.65","100,149.32","19,932.62",--,--,--,"29,628.24",--,"169,531.50","322,169.29",--,"322,169.29","964,758.94"
2009-12-31,"13,913.02",--,--,"6,593.92","116,976.59","12,820.20",--,--,"9,027.76",--,"127,247.25",--,826.64,--,--,--,"287,405.38",--,--,--,"2,527.91","10,385.54",--,"491,923.12","45,001.22",--,--,--,--,--,"48,029.45",--,"7,467.83","8,541.42","3,848.30",--,"617,724.79","905,130.17","22,966.85",--,"47,634.44","39,819.06","2,985.49",--,"13,123.98","6,379.09",276.97,--,"22,645.33",--,--,--,"5,000.00","130,702.82","291,534.02","174,100.00",--,--,--,--,--,--,--,847.86,"174,947.86","466,481.88","200,298.63","19,932.62",--,--,--,"44,048.53",--,"172,316.45","438,648.29",--,"438,648.29","905,130.17"
2009-09-30,"8,853.33",--,--,"13,707.98","99,837.74","5,044.33",--,--,"4,225.29",--,"126,594.11",--,528.26,--,--,--,"258,791.04",--,--,--,--,"9,593.14",--,"499,787.42","46,529.84",--,-8.54,--,--,--,"48,434.17",--,"7,467.83","9,375.29","4,614.53",--,"625,793.67","884,584.71","36,146.77",--,"61,555.88","30,849.34","4,016.50",--,"11,446.56","9,556.67",335.10,--,"20,819.55",--,--,--,"15,000.00","79,953.66","269,680.03","226,300.00",--,--,--,--,--,--,--,--,"226,300.00","495,980.03","200,298.63","19,932.62",--,--,--,"40,648.11",--,"125,700.68","388,604.68",--,"388,604.68","884,584.71"
2009-06-30,"22,124.14",--,--,"9,552.59","98,752.15","4,084.25",--,--,"3,123.69",--,"117,430.51",--,475.75,--,--,--,"255,543.08",--,--,--,--,"8,947.39",--,"546,687.30","50,850.88",--,--,--,--,--,"52,324.76",--,"7,467.83","9,277.63","4,441.50",--,"679,997.29","935,540.36","70,310.00",--,"57,393.32","32,026.33","3,765.70",--,"8,834.69","6,410.02",731.46,--,"48,393.99",--,--,--,"90,000.00",--,"317,865.51","268,600.00",--,--,--,--,--,--,--,--,"268,600.00","586,465.51","200,298.63","19,932.62",--,--,--,"40,648.11",--,"86,040.91","349,074.86",--,"349,074.86","935,540.36"
2009-03-31,"9,858.08",--,--,"8,309.84","73,302.59","3,984.86",--,--,"3,635.86",--,"112,846.80",--,408.44,--,--,--,"212,346.47",--,--,--,--,"9,162.87",--,"537,159.85","91,362.24",--,--,--,--,--,"46,672.04",--,"7,467.83","9,467.76","4,292.48",--,"705,585.08","917,931.55","97,780.00",--,"42,756.85","25,028.23","3,795.33",--,"5,563.48","3,057.79",633.29,--,"17,545.20",--,--,--,"103,500.00",--,"299,660.19","281,050.00",--,--,--,--,--,--,--,--,"281,050.00","580,710.19","200,298.63","19,932.62",--,--,--,"40,648.11",--,"74,260.83","337,221.37",--,"337,221.37","917,931.55"
2010-12-31,"15,972.20",--,--,"19,263.60","157,023.45","17,908.32",--,--,"5,713.80",--,"167,773.10",--,"1,037.66",--,--,--,"384,692.12",--,--,--,"1,275.24","6,912.50",--,"518,256.98","74,444.98",--,--,--,--,--,"48,165.53",--,"7,467.83","10,286.27","5,195.78",--,"672,005.12","1,056,697.23","109,498.72",--,"69,973.55","60,377.34","2,421.35",--,"17,185.26","4,123.04",182.58,--,"35,100.41",--,--,--,"6,000.00","80,304.62","385,166.87","83,200.00",--,--,--,--,--,138.23,--,"3,977.62","87,315.85","472,482.72","200,298.63","19,932.70",--,--,--,"57,061.80",--,"303,989.46","584,214.51",--,"584,214.51","1,056,697.23"
2010-09-30,"9,695.23",--,--,"16,718.10","137,247.66","15,579.33",--,--,"5,681.95",--,"163,165.30",--,"1,081.72",--,--,--,"349,169.29",--,--,--,"2,575.73","7,286.23",--,"511,402.58","61,068.49",--,--,--,--,--,"48,516.04",--,"7,467.83","8,874.33","3,974.65",--,"651,165.87","1,000,335.16","118,751.90",--,"76,264.87","46,998.05","2,969.99",--,"15,799.89","10,548.61",382.53,--,"27,289.82",--,--,--,"8,000.00","51,492.81","358,498.47","103,000.00",--,--,--,--,--,--,--,"1,809.36","104,809.36","463,307.83","200,298.63","19,932.62",--,--,--,"44,048.53",--,"270,211.79","537,027.33",--,"537,027.33","1,000,335.16"
